tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,won
2004-506,Buenos Aires,Clay,32,A,20040216,4,103428,8,,Juan Ignacio Chela,R,190,ARG,24.4654346338,41,915,7-5 6-0,3,R32,80,1,0,61,34,22,15,9,4,6,1
2004-506,Buenos Aires,Clay,32,A,20040216,5,103454,3,,Nicolas Massu,R,183,CHI,24.3531827515,14,1582,6-1 6-3,3,R32,70,3,1,46,28,19,12,7,2,3,1
2004-506,Buenos Aires,Clay,32,A,20040216,6,103835,,,Filippo Volandri,R,183,ITA,22.4476386037,45,834,6-3 4-6 6-2,3,R32,113,1,1,86,64,40,11,14,4,8,1
2004-506,Buenos Aires,Clay,32,A,20040216,7,104755,,,Richard Gasquet,R,185,FRA,17.6646132786,105,367,2-6 7-5 6-1,3,R32,122,4,3,101,69,50,12,14,7,9,1
2004-506,Buenos Aires,Clay,32,A,20040216,8,102860,5,,Agustin Calleri,R,183,ARG,27.4223134839,21,1285,6-4 6-2,3,R32,64,12,0,46,29,25,12,9,1,1,1
2004-506,Buenos Aires,Clay,32,A,20040216,9,104076,,,Jose Acasuso,R,190,ARG,21.325119781,111,354,6-3 7-6(6),3,R32,95,4,1,67,35,22,20,11,1,4,1
2004-506,Buenos Aires,Clay,32,A,20040216,10,103535,,Q,Olivier Patience,R,180,FRA,23.8959616701,131,301,6-4 6-3,3,R32,71,3,1,53,34,21,14,10,0,2,1
2004-506,Buenos Aires,Clay,32,A,20040216,11,103581,,,Flavio Saretta,R,183,BRA,23.6358658453,44,839,6-4 6-2,3,R32,74,3,0,46,26,21,10,9,1,3,1
2004-506,Buenos Aires,Clay,32,A,20040216,12,103970,,,David Ferrer,R,175,ESP,21.8754277892,70,504,6-3 7-5,3,R32,72,1,0,64,49,35,11,11,1,2,1
2004-506,Buenos Aires,Clay,32,A,20040216,13,103151,6,,Mariano Zabaleta,R,183,ARG,25.9657768652,30,1085,6-4 6-4,3,R32,88,5,0,52,37,29,9,10,0,1,1
2004-506,Buenos Aires,Clay,32,A,20040216,14,103169,,,Oscar Hernandez,R,180,ESP,25.8535249829,91,415,6-1 4-6 6-4,3,R32,139,0,0,83,57,40,12,13,7,10,1
2004-506,Buenos Aires,Clay,32,A,20040216,15,103176,,,David Sanchez,R,183,ESP,25.826146475,54,636,3-6 6-0 6-1,3,R32,119,2,0,80,47,27,21,11,7,9,1
2004-506,Buenos Aires,Clay,32,A,20040216,16,102845,2,,Carlos Moya,R,190,ESP,27.4715947981,7,2345,6-2 6-4,3,R32,67,7,4,56,30,26,15,9,3,3,1
2004-506,Buenos Aires,Clay,32,A,20040216,17,103909,1,,Guillermo Coria,R,175,ARG,22.0917180014,4,3185,6-3 4-6 6-1,3,R16,121,4,7,92,63,46,10,13,7,10,1
2004-506,Buenos Aires,Clay,32,A,20040216,18,104338,,WC,Juan Monaco,R,185,ARG,19.8850102669,223,159,7-6(4) 6-3,3,R16,111,0,2,66,42,24,11,10,1,5,1
2004-506,Buenos Aires,Clay,32,A,20040216,19,103454,3,,Nicolas Massu,R,183,CHI,24.3531827515,14,1582,6-2 6-4,3,R16,81,1,2,57,34,27,13,9,1,1,1
2004-506,Buenos Aires,Clay,32,A,20040216,20,104755,,,Richard Gasquet,R,185,FRA,17.6646132786,105,367,7-5 6-2,3,R16,85,3,1,54,28,24,17,10,1,2,1
2004-506,Buenos Aires,Clay,32,A,20040216,21,104076,,,Jose Acasuso,R,190,ARG,21.325119781,111,354,3-6 7-6(9) 6-4,3,R16,151,4,3,103,59,44,23,15,8,11,1
2004-506,Buenos Aires,Clay,32,A,20040216,22,103970,,,David Ferrer,R,175,ESP,21.8754277892,70,504,7-6(1) 3-6 6-2,3,R16,139,3,4,90,56,38,14,14,3,7,1
2004-506,Buenos Aires,Clay,32,A,20040216,23,103151,6,,Mariano Zabaleta,R,183,ARG,25.9657768652,30,1085,6-1 6-4,3,R16,69,3,4,50,33,27,9,9,3,4,1
2004-506,Buenos Aires,Clay,32,A,20040216,24,102845,2,,Carlos Moya,R,190,ESP,27.4715947981,7,2345,7-6(5) 1-6 7-6(5),3,R16,144,10,2,108,67,45,17,16,7,13,1
2004-506,Buenos Aires,Clay,32,A,20040216,25,103909,1,,Guillermo Coria,R,175,ARG,22.0917180014,4,3185,7-6(8) 3-6 6-1,3,QF,134,1,2,91,58,43,12,14,3,7,1
2004-506,Buenos Aires,Clay,32,A,20040216,26,104755,,,Richard Gasquet,R,185,FRA,17.6646132786,105,367,6-3 4-6 7-5,3,QF,160,5,2,107,73,48,15,16,5,9,1
2004-506,Buenos Aires,Clay,32,A,20040216,27,104076,,,Jose Acasuso,R,190,ARG,21.325119781,111,354,7-5 7-6(5),3,QF,112,4,1,86,47,29,19,12,4,8,1
2004-506,Buenos Aires,Clay,32,A,20040216,28,102845,2,,Carlos Moya,R,190,ESP,27.4715947981,7,2345,4-6 7-6(4) 6-4,3,QF,152,7,2,98,55,43,23,16,3,5,1
2004-506,Buenos Aires,Clay,32,A,20040216,29,103909,1,,Guillermo Coria,R,175,ARG,22.0917180014,4,3185,7-6(1) 6-1,3,SF,75,1,1,63,48,36,8,10,1,2,1
2004-506,Buenos Aires,Clay,32,A,20040216,30,102845,2,,Carlos Moya,R,190,ESP,27.4715947981,7,2345,7-6(3) 7-5,3,SF,117,7,5,90,50,36,23,12,5,6,1
2004-506,Buenos Aires,Clay,32,A,20040216,31,103909,1,,Guillermo Coria,R,175,ARG,22.0917180014,4,3185,6-4 6-1,3,F,72,0,0,40,32,26,7,8,1,1,1
2004-500,Halle,Grass,32,A,20040607,1,103819,1,,Roger Federer,R,185,SUI,22.8309377139,1,5610,6-3 6-2,3,R32,69,10,4,56,34,28,11,9,6,7,1
2004-500,Halle,Grass,32,A,20040607,2,104022,,,Mikhail Youzhny,R,183,RUS,21.9520876112,34,915,6-7(4) 6-2 7-6(2),3,R32,113,7,3,89,51,44,24,16,4,6,1
2004-500,Halle,Grass,32,A,20040607,3,103096,,,Arnaud Clement,R,173,FRA,26.4722792608,37,860,6-1 6-4,3,R32,75,2,2,44,19,19,17,9,0,0,1
2004-500,Halle,Grass,32,A,20040607,4,102880,,,Alexander Popp,R,201,GER,27.5893223819,84,482,1-6 6-4 6-4,3,R32,94,1,5,85,48,32,21,13,4,7,1
2004-500,Halle,Grass,32,A,20040607,5,102562,3,,Jiri Novak,R,190,CZE,29.2128678987,19,1310,6-2 6-2,3,R32,51,3,0,42,28,25,8,8,3,3,1
2004-500,Halle,Grass,32,A,20040607,6,103843,,LL,Marco Chiudinelli,R,185,SUI,22.7405886379,193,203,6-2 6-2,3,R32,59,2,2,42,29,24,9,8,0,0,1
2004-500,Halle,Grass,32,A,20040607,7,102202,,,Kenneth Carlsen,L,190,DEN,31.1403148528,104,388,3-6 7-6(5) 7-5,3,R32,151,14,4,112,62,49,29,16,7,8,1
2004-500,Halle,Grass,32,A,20040607,8,103163,,WC,Tommy Haas,R,188,GER,26.1793292266,112,360,6-3 6-4,3,R32,54,9,0,47,28,24,16,10,0,0,1
2004-500,Halle,Grass,32,A,20040607,9,103888,6,,Mardy Fish,R,188,USA,22.4941820671,23,1230,6-4 6-2,3,R32,71,8,4,54,25,21,18,9,0,0,1
2004-500,Halle,Grass,32,A,20040607,10,102227,,,Sargis Sargsian,R,180,ARM,31.0116358658,51,745,2-6 6-2 6-2,3,R32,84,3,2,73,44,34,10,12,4,8,1
2004-500,Halle,Grass,32,A,20040607,11,104312,,Q,Andreas Seppi,R,190,ITA,20.2929500342,181,220,7-6(5) 2-6 6-3,3,R32,120,2,5,99,66,45,14,14,7,11,1
2004-500,Halle,Grass,32,A,20040607,12,104269,,,Fernando Verdasco,L,188,ESP,20.5612594114,50,749,7-5 7-5,3,R32,79,9,2,65,36,30,21,12,2,2,1
2004-500,Halle,Grass,32,A,20040607,13,102035,,,Jonas Bjorkman,R,183,SWE,32.2080766598,27,1110,6-2 6-7(3) 7-6(4),3,R32,145,5,4,106,59,45,30,16,6,7,1
2004-500,Halle,Grass,32,A,20040607,14,103017,,,Nicolas Kiefer,R,183,GER,26.9240246407,31,1005,6-3 6-4,3,R32,67,7,4,53,28,26,14,10,0,0,1
2004-500,Halle,Grass,32,A,20040607,15,104026,,,Joachim Johansson,R,198,SWE,21.9356605065,48,752,7-6(3) 4-6 6-3,3,R32,99,29,3,95,62,50,19,16,3,4,1
2004-500,Halle,Grass,32,A,20040607,16,102783,2,,Rainer Schuettler,R,180,GER,28.1177275838,8,2225,6-3 6-2,3,R32,68,0,1,49,27,20,17,9,5,6,1
2004-500,Halle,Grass,32,A,20040607,17,103819,1,,Roger Federer,R,185,SUI,22.8309377139,1,5610,6-2 6-1,3,R16,69,3,0,42,26,19,10,8,0,1,1
